location,title,short_description,price,square_meters,bedrooms,parking,bathroom,cluster,latitude,longitude
zaragoza, apartamento de lujo en venta en torre foresta encanto country club,espectacular apartamento full moderno en exclusiva torre foresta cuenta con: - vestibulo -baño social -cocina abierta -comedor -sala social -amplia terraza con vista panoramica al ...,560000,263.0,3,2,3,0,13.5860809,-89.2918473
zaragoza, casa en venta en las terrazas de el encanto,espectacular casa en las terrazas de el encanto en el exclusivo encanto country club rodeado de naturaleza y diversión. tendremos 14 viviendas con terrenos desde 720v2 y 340m2 de ...,638424,340.0,3,2,3,0,13.5860809,-89.2918473
zaragoza, mansion minimalista en venta en encanto country club,espectacular mansion minimalista en el exclusivo country club el encanto. rodeado de un hermoso campo de golf y naturaleza. vive la experiencia de vivir en encanto country club esta ...,1750000,502.0,3,3,3,1,13.5860809,-89.2918473
la unión, apartamento en playa boutique las tunas,"hermoso condominio de apartamentos con espacios ideales para poder vivir, descansar y disfrutar en familia. ubicado a la orilla del mar en playa las tunas, playas negras, la union, una ...",320000,161.0,3,2,2,0,13.3323464,-87.8500644
santa ana, casa de campo col. santa eduviges para personas retiradas lugar tranquilo.,"personas serias ,se puede negociar un poco, tiene 2 clases de electricidad, cnr.",21000,102.67469879518072,2,1,1,0,13.9778279,-89.56391190000001
san salvador," venta de bonita y amplia casa de un nivel colonia centroamierca y calle gabriela mistral,s.s.","vendo bonita y amplica casa de un nivel colonia centroamierca calle gabriela mistral, san salvador excelente oportunidad de inversion ideal para clinicas, oficina, residencia u otros ...",325000,350.0,3,3,2,1,13.6929403,-89.2181911
la libertad, casa en cuidad arce cerca del centro,"se vende casa remodelada en cuidad arce cerca del centro, barrio la esperanza, la libertad. el salvador se vende casa en cuidad arce, ubicada en el barrio la esperanza, calle francisco ...",49000,156.0,1,2,1,0,13.6817661,-89.3606298
quezaltepeque," casa en venta residencial bella granada, quezaltepeque","en venta casa una planta residencial bella granada. residencial privada vigilancia 24/7 casa club piscina área verdes,arborizadas, amplias calles. descripción una planta cochera ...",95000,120.0,3,2,2,0,13.8263447,-89.270477
san salvador," casa en venta merliot, antiguo cuscatlán","con vigilancia privada 3 niveles actualmente se usa como restaurante y vivienda terreno: 226.85v2 = 158.55mts2 cochera techada para un vehículo, alrededor de la casa se puede ...",350000,400.0,7,3,6,1,13.6929403,-89.2181911
san salvador, casa en venta escalón parte alta muy bonita,con buen mantenimiento ventilada e iluminada muchos detalles espacios amplios 2 niveles terreno: 909.29 v2 construcción: 467 m2 primer nivel: - cochera para 3 vehículos jardín ...,610000,467.0,3,3,4,1,13.6929403,-89.2181911
san salvador, vendo terreno con diseño en cumbres de cuscatlan," se vende terreno en cumbres de cuscatlán, privado  características:  -  área:  1,348 varas cuadradas -  dimensiones:  21 metros de frente x 59.6 metros de fondo -  precio:  ...",283000,1348.0,2,3,3,2,13.6929403,-89.2181911
antiguo cuscatlán, puerta del alma (apartamento en venta ),venta apto puerta del alma 136 mts2 piso alto torre 1 3 habitaciones principal con baño y wc las otras 2 comparten area de servicio y lavado cocina sala comedor parqueo 2 ...,447000,136.0,3,2,2,0,13.6640938,-89.25147179999999
santa ana, venta casa nueva santa isabel santa ana,venta de casa nueva por cementerio santa isabel la casa cuenta con cochera para dos vehículos sala-comedor-cocina concepto abierto baño social área de aseo. con pila área ...,125000,180.0,3,2,2,0,13.9778279,-89.56391190000001
colón, casa en venta residencial jacarandas las arboledas lourdes,"estimado cliente: tenemos el agrado de poner a su disposición la venta de este inmueble, que estamos seguros llenara sus expectativas de calidad de vida. está ubicado en la ...",187000,200.0,3,2,2,0,13.707793,-89.3487791
apopa, casa amplia y remodelada en venta cerca del periférico de apopa!,casa amplia y remodelada de cinco habitaciones cada una con baño. ubicada a tan pocos minutos del periférico de apopa con fácil acceso a la carretera de oro. cerca de plaza mundo y ...,160000,280.0,5,2,6,0,13.8028238,-89.1798446
colón," se vende casa en colonia la esperanza, colon, la libertad","se vende casa en colonia la esperanza, colon. 3 habitaciones 3 baños cochera para i vehículo 2 salas área de construcción: 135 m² aprox. amplio terreno: 299.23 m² (o 428.13 ...",120000,135.0,3,1,3,0,13.707793,-89.3487791
san salvador," apartamento en venta, escalón",en 6to nivel vista espectacular moderno buen mantenimiento ventilado e iluminado área apartamento: 119.08mts2 + un parqueo: 12.70mts2 y el otro parqueo de 12.80mts. área ...,300000,119.0,3,2,3,0,13.6929403,-89.2181911
santa tecla, casa en venta urbanizacion las colinas santa tecla,"ponemos a tu disposición una casa ubicada en urbanización las colinas en santa tecla, una zona muy fresca y con una ubicación estratégica ya que tiene acceso al occidente del país, ...",165000,120.0,5,1,2,0,13.6757837,-89.2894733
san salvador," vendo terra alta(masferrer), amplio apartamento de 3er nivel",se vende apartamento de 155 metros de construcción en 3er nivel en exclusiva torre de escalón arriba de redondel masferrer cuenta con: 2 terrazas(como patio interno) 2 habitaciones ...,365000,155.0,3,2,3,0,13.6929403,-89.2181911
san salvador, casa en venta san san salvador el salvador / house for sale san salvador el salvador,"se vende preciosa casa precio: 255,000 sala comedor cocina 3 habitaciones área de servicio parqueo para 2 vehículos área de jardines y piscina para residentes casera de ...",255000,102.67469879518072,3,2,2,0,13.6929403,-89.2181911
san salvador, venta de propiedad en excelente ubicación,"se vende propiedad en zona del estadio cuscatlán, residencial los eliseos, super céntrica, calle privada paralela al boulevard los próceres a tan solo 250 metros del estadio, 40 ...",175000,110.0,5,2,3,0,13.6929403,-89.2181911
santa ana, hermosa casa de lujo en venta,"hermosa casa de lujo de dos niveles en venta, construida en el año 2014. ubicada en santa ana en cantón primavera. inversión de $399,000.00, negociables. área: terreno 1750 m2 ...",399000,472.0,6,8,6,1,13.9778279,-89.56391190000001
chalatenango," hermosa casa en venta, chalatenango","hermosa casa de 3 niveles en venta, muy moderna que fue construida en el año 2022, ubicada en chalatenango inversión $325,000.00 negociables zona no privado, cerca de escuelas, ...",325000,260.0,4,4,7,0,14.0411955,-88.9395184
santa ana, ganga para oficinas o residencia en el corazon de santa ana,"se vende propiedad propia para oficinas o residencia , se ubica en el centro de santa ana , tiene una extencion de 10 mtrs de frente por 27 de fondo , tiene tres grandes dormitorios, ...",178000,200.0,3,3,2,0,13.9778279,-89.56391190000001
san salvador, propiedad en venta con 10+ parqueos sobre ave. masferrer nte,"se vende amplia propiedad con vista hacia la ciudad de san salvador, ubicada sobre la ave. masferrer norte, con 10+ estacionamientos dentro de la propiedad. actualmente está adecuado ...",670000,549.0,2,10,2,1,13.6929403,-89.2181911
